trade_num,direction,type,entry_datetime,exit_datetime,entry_price,exit_price,pnl_pts,equity_pts
1,LONG,SL,2026-02-12 01:10:00,2026-02-12 01:45:00,67631.2000,67833.3475,202.1475,202.1475
2,SHORT,SL,2026-02-12 04:30:00,2026-02-12 04:35:00,67047.3400,67181.5179,-134.1779,67.9696
3,LONG,SL,2026-02-12 10:30:00,2026-02-12 11:05:00,67723.8800,67915.8205,191.9405,259.9101
4,SHORT,SL,2026-02-12 15:05:00,2026-02-12 15:10:00,67155.7800,67290.2186,-134.4386,125.4716
5,LONG,SL,2026-02-12 15:20:00,2026-02-12 15:30:00,67810.5600,67730.1878,-80.3722,45.0993
6,SHORT,SL,2026-02-12 15:55:00,2026-02-12 16:35:00,67116.5100,66097.5480,1018.9620,1064.0614
7,LONG,SL,2026-02-13 14:45:00,2026-02-13 14:50:00,67889.4800,67754.1159,-135.3641,928.6973
8,SHORT,SL,2026-02-17 14:40:00,2026-02-17 14:55:00,67058.1200,66879.4966,178.6234,1107.3207
9,LONG,SL,2026-02-17 16:00:00,2026-02-17 16:20:00,67693.1400,67709.4820,16.3420,1123.6627
10,SHORT,SL,2026-02-17 17:10:00,2026-02-17 17:15:00,67096.4700,67230.7030,-134.2330,989.4297
11,LONG,SL,2026-02-17 18:25:00,2026-02-17 19:15:00,67713.6500,67948.8327,235.1827,1224.6124
12,SHORT,SL,2026-02-18 01:05:00,2026-02-18 01:40:00,67070.8800,67011.8063,59.0737,1283.6861
13,LONG,SL,2026-02-18 03:50:00,2026-02-18 04:05:00,67627.0200,67501.9546,-125.0654,1158.6207
14,SHORT,SL,2026-02-18 14:15:00,2026-02-18 14:30:00,67081.4800,67215.7037,-134.2237,1024.3970
15,LONG,SL,2026-02-18 15:35:00,2026-02-18 15:45:00,67921.0700,68131.9721,210.9021,1235.2991
16,SHORT,SL,2026-02-18 16:00:00,2026-02-18 16:20:00,67272.2100,67163.7066,108.5034,1343.8025
17,LONG,SL,2026-02-20 05:40:00,2026-02-20 05:55:00,67851.7000,67796.4999,-55.2001,1288.6025
18,SHORT,SL,2026-02-20 13:00:00,2026-02-20 13:50:00,67117.9800,66722.6825,395.2975,1683.9000
19,LONG,SL,2026-02-20 16:00:00,2026-02-20 16:25:00,67711.5800,67710.1375,-1.4425,1682.4576
20,SHORT,SL,2026-02-20 17:15:00,2026-02-20 17:40:00,67114.1400,67155.9997,-41.8597,1640.5978
21,LONG,SL,2026-02-20 18:30:00,2026-02-20 18:35:00,67911.5500,67776.1440,-135.4060,1505.1919
22,SHORT,SL,2026-02-22 15:05:00,2026-02-22 15:25:00,67310.5800,67445.3019,-134.7219,1370.4699
23,LONG,SL,2026-02-25 16:20:00,2026-02-25 17:15:00,67980.7100,68392.0924,411.3824,1781.8523
24,SHORT,SL,2026-02-26 14:45:00,2026-02-26 14:55:00,67369.8000,67504.5905,-134.7905,1647.0618
25,LONG,SL,2026-02-27 04:10:00,2026-02-27 04:25:00,67930.3300,67975.6104,45.2804,1692.3422
26,SHORT,SL,2026-02-27 10:00:00,2026-02-27 12:05:00,67352.8000,66175.3982,1177.4018,2869.7440
27,LONG,SL,2026-03-01 02:00:00,2026-03-01 02:05:00,68143.1600,68007.1953,-135.9647,2733.7793
28,SHORT,SL,2026-03-01 03:20:00,2026-03-01 03:25:00,67435.1400,67570.0201,-134.8801,2598.8992
29,LONG,SL,2026-03-02 15:10:00,2026-03-02 15:50:00,68321.8400,69378.7126,1056.8726,3655.7718
30,SHORT,SL,2026-03-03 08:30:00,2026-03-03 09:55:00,67614.9200,66606.5321,1008.3879,4664.1597
31,LONG,SL,2026-03-03 16:05:00,2026-03-03 16:30:00,68351.0600,68732.5602,381.5002,5045.6599
32,SHORT,SL,2026-03-03 16:40:00,2026-03-03 16:45:00,67617.7500,67753.1187,-135.3687,4910.2912
33,LONG,SL,2026-03-03 16:50:00,2026-03-03 17:00:00,68167.6100,68150.0296,-17.5804,4892.7108
34,SHORT,SL,2026-03-04 03:35:00,2026-03-04 03:45:00,67603.1300,67629.9667,-26.8367,4865.8741
35,LONG,SL,2026-03-04 05:40:00,2026-03-04 06:00:00,68282.6100,68166.9536,-115.6564,4750.2176
36,SHORT,SL,2026-03-07 07:00:00,2026-03-07 07:20:00,67600.7300,67651.9252,-51.1952,4699.0225
37,LONG,SL,2026-03-07 11:15:00,2026-03-07 11:55:00,68142.1900,68021.9966,-120.1934,4578.8291
38,SHORT,SL,2026-03-07 18:00:00,2026-03-07 20:00:00,67587.2500,67162.7048,424.5452,5003.3743
39,LONG,SL,2026-03-09 09:30:00,2026-03-09 09:45:00,68135.7700,68265.4145,129.6445,5133.0188
40,SHORT,SL,2026-03-09 11:15:00,2026-03-09 11:35:00,67444.3100,67579.3148,-135.0048,4998.0140
41,LONG,SL,2026-03-09 12:20:00,2026-03-09 12:45:00,68039.6600,68148.9056,109.2456,5107.2596
42,SHORT,SL,2026-03-27 10:35:00,2026-03-27 11:10:00,67025.7400,66519.7811,505.9589,5613.2185
43,LONG,SL,2026-03-30 05:00:00,2026-03-30 05:40:00,67588.5800,67514.7490,-73.8310,5539.3876
44,SHORT,SL,2026-03-30 17:20:00,2026-03-30 17:40:00,66848.0200,66838.8283,9.1917,5548.5793
45,LONG,SL,2026-03-31 01:20:00,2026-03-31 01:40:00,67626.4800,68017.2367,390.7567,5939.3360
46,SHORT,SL,2026-03-31 07:15:00,2026-03-31 07:25:00,67084.0600,67218.2510,-134.1910,5805.1450
47,LONG,SL,2026-03-31 14:15:00,2026-03-31 14:35:00,67651.0300,67516.4412,-134.5888,5670.5562
48,SHORT,SL,2026-03-31 14:40:00,2026-03-31 15:00:00,67067.0200,66685.5957,381.4243,6051.9804
49,LONG,SL,2026-03-31 16:40:00,2026-03-31 16:45:00,67853.5500,67718.4252,-135.1248,5916.8556
50,SHORT,SL,2026-04-02 01:30:00,2026-04-02 01:55:00,67234.5900,67267.1878,-32.5978,5884.2579
51,LONG,SL,2026-04-05 22:45:00,2026-04-05 23:40:00,68008.4000,68900.6890,892.2890,6776.5468
