trade_num,direction,type,entry_datetime,exit_datetime,entry_price,exit_price,pnl_pts,equity_pts
1,LONG,SL,2026-02-12 00:30:00,2026-02-12 01:45:00,67431.32,67833.35,402.03,402.03
2,SHORT,SL,2026-02-12 04:30:00,2026-02-12 04:35:00,67047.34,67181.52,-134.18,267.85
3,LONG,SL,2026-02-12 09:30:00,2026-02-12 11:05:00,67363.80,67915.82,552.02,819.87
4,SHORT,SL,2026-02-12 16:05:00,2026-02-12 16:35:00,66624.30,66097.55,526.75,1346.62
5,LONG,SL,2026-02-13 09:45:00,2026-02-13 10:05:00,66966.98,66833.36,-133.62,1213.00
6,SHORT,SL,2026-02-17 15:30:00,2026-02-17 15:35:00,66662.69,66796.12,-133.43,1079.57
7,LONG,SL,2026-02-17 15:45:00,2026-02-17 16:20:00,67147.57,67709.48,561.91,1641.48
8,SHORT,SL,2026-02-18 14:45:00,2026-02-18 14:50:00,66788.80,66922.49,-133.69,1507.79
9,LONG,SL,2026-02-18 14:55:00,2026-02-18 15:45:00,67150.77,68131.97,981.20,2489.00
10,SHORT,SL,2026-02-18 18:20:00,2026-02-18 18:35:00,66849.92,66821.22,28.70,2517.70
11,LONG,SL,2026-02-19 06:20:00,2026-02-19 07:05:00,67152.08,67021.73,-130.35,2387.35
12,SHORT,SL,2026-02-19 08:30:00,2026-02-19 09:00:00,66808.80,66942.48,-133.68,2253.67
13,LONG,SL,2026-02-19 09:20:00,2026-02-19 09:45:00,67149.06,67014.98,-134.08,2119.60
14,SHORT,SL,2026-02-19 09:45:00,2026-02-19 10:40:00,66774.45,66905.24,-130.79,1988.81
15,LONG,SL,2026-02-19 19:05:00,2026-02-19 19:10:00,67087.22,66953.28,-133.94,1854.87
16,SHORT,SL,2026-02-19 19:35:00,2026-02-19 19:50:00,66776.72,66902.72,-126.00,1728.87
17,LONG,SL,2026-02-19 20:50:00,2026-02-19 21:30:00,67126.00,66991.93,-134.07,1594.80
18,SHORT,SL,2026-02-19 22:05:00,2026-02-19 22:40:00,66821.75,66782.21,39.54,1634.34
19,LONG,SL,2026-02-20 00:15:00,2026-02-20 00:50:00,67222.69,67234.65,11.96,1646.30
20,SHORT,SL,2026-02-20 13:30:00,2026-02-20 13:50:00,66901.84,66722.68,179.16,1825.46
21,LONG,SL,2026-02-20 15:00:00,2026-02-20 15:10:00,67466.77,67331.90,-134.87,1690.59
22,SHORT,SL,2026-02-20 15:10:00,2026-02-20 15:20:00,67019.22,67153.28,-134.06,1556.53
23,LONG,SL,2026-02-20 15:20:00,2026-02-20 15:30:00,67416.41,67337.75,-78.66,1477.87
