Trade #,Signal,Date,Price,Date,Price,Profit
1,Long,2026-02-12T01:10:00Z,67631.2000,2026-02-12T01:45:00Z,67833.3475,202.1475
2,Short,2026-02-12T04:30:00Z,67047.3400,2026-02-12T04:35:00Z,67181.5179,-134.1779
3,Long,2026-02-12T10:30:00Z,67723.8800,2026-02-12T11:05:00Z,67915.8205,191.9405
4,Short,2026-02-12T15:05:00Z,67155.7800,2026-02-12T15:10:00Z,67290.2186,-134.4386
5,Long,2026-02-12T15:20:00Z,67810.5600,2026-02-12T15:30:00Z,67730.1878,-80.3722
6,Short,2026-02-12T15:55:00Z,67116.5100,2026-02-12T16:35:00Z,66097.5480,1018.9620
7,Long,2026-02-13T14:45:00Z,67889.4800,2026-02-13T14:50:00Z,67754.1159,-135.3641
8,Short,2026-02-17T14:40:00Z,67058.1200,2026-02-17T14:55:00Z,66879.4966,178.6234
9,Long,2026-02-17T16:00:00Z,67693.1400,2026-02-17T16:20:00Z,67709.4820,16.3420
10,Short,2026-02-17T17:10:00Z,67096.4700,2026-02-17T17:15:00Z,67230.7030,-134.2330
11,Long,2026-02-17T18:25:00Z,67713.6500,2026-02-17T19:15:00Z,67948.8327,235.1827
12,Short,2026-02-18T01:05:00Z,67070.8800,2026-02-18T01:40:00Z,67011.8063,59.0737
13,Long,2026-02-18T03:50:00Z,67627.0200,2026-02-18T04:05:00Z,67501.9546,-125.0654
14,Short,2026-02-18T14:15:00Z,67081.4800,2026-02-18T14:30:00Z,67215.7037,-134.2237
15,Long,2026-02-18T15:35:00Z,67921.0700,2026-02-18T15:45:00Z,68131.9721,210.9021
16,Short,2026-02-18T16:00:00Z,67272.2100,2026-02-18T16:20:00Z,67163.7066,108.5034
17,Long,2026-02-20T05:40:00Z,67851.7000,2026-02-20T05:55:00Z,67796.4999,-55.2001
18,Short,2026-02-20T13:00:00Z,67117.9800,2026-02-20T13:50:00Z,66722.6825,395.2975
19,Long,2026-02-20T16:00:00Z,67711.5800,2026-02-20T16:25:00Z,67710.1375,-1.4425
20,Short,2026-02-20T17:15:00Z,67114.1400,2026-02-20T17:40:00Z,67155.9997,-41.8597
21,Long,2026-02-20T18:30:00Z,67911.5500,2026-02-20T18:35:00Z,67776.1440,-135.4060
22,Short,2026-02-22T15:05:00Z,67310.5800,2026-02-22T15:25:00Z,67445.3019,-134.7219
23,Long,2026-02-25T16:20:00Z,67980.7100,2026-02-25T17:15:00Z,68392.0924,411.3824
24,Short,2026-02-26T14:45:00Z,67369.8000,2026-02-26T14:55:00Z,67504.5905,-134.7905
25,Long,2026-02-27T04:10:00Z,67930.3300,2026-02-27T04:25:00Z,67975.6104,45.2804
26,Short,2026-02-27T10:00:00Z,67352.8000,2026-02-27T12:05:00Z,66175.3982,1177.4018
27,Long,2026-03-01T02:00:00Z,68143.1600,2026-03-01T02:05:00Z,68007.1953,-135.9647
28,Short,2026-03-01T03:20:00Z,67435.1400,2026-03-01T03:25:00Z,67570.0201,-134.8801
29,Long,2026-03-02T15:10:00Z,68321.8400,2026-03-02T15:50:00Z,69378.7126,1056.8726
30,Short,2026-03-03T08:30:00Z,67614.9200,2026-03-03T09:55:00Z,66606.5321,1008.3879
31,Long,2026-03-03T16:05:00Z,68351.0600,2026-03-03T16:30:00Z,68732.5602,381.5002
32,Short,2026-03-03T16:40:00Z,67617.7500,2026-03-03T16:45:00Z,67753.1187,-135.3687
33,Long,2026-03-03T16:50:00Z,68167.6100,2026-03-03T17:00:00Z,68150.0296,-17.5804
34,Short,2026-03-04T03:35:00Z,67603.1300,2026-03-04T03:45:00Z,67629.9667,-26.8367
35,Long,2026-03-04T05:40:00Z,68282.6100,2026-03-04T06:00:00Z,68166.9536,-115.6564
36,Short,2026-03-07T07:00:00Z,67600.7300,2026-03-07T07:20:00Z,67651.9252,-51.1952
37,Long,2026-03-07T11:15:00Z,68142.1900,2026-03-07T11:55:00Z,68021.9966,-120.1934
38,Short,2026-03-07T18:00:00Z,67587.2500,2026-03-07T20:00:00Z,67162.7048,424.5452
39,Long,2026-03-09T09:30:00Z,68135.7700,2026-03-09T09:45:00Z,68265.4145,129.6445
40,Short,2026-03-09T11:15:00Z,67444.3100,2026-03-09T11:35:00Z,67579.3148,-135.0048
41,Long,2026-03-09T12:20:00Z,68039.6600,2026-03-09T12:45:00Z,68148.9056,109.2456
42,Short,2026-03-27T10:35:00Z,67025.7400,2026-03-27T11:10:00Z,66519.7811,505.9589
43,Long,2026-03-30T05:00:00Z,67588.5800,2026-03-30T05:40:00Z,67514.7490,-73.8310
44,Short,2026-03-30T17:20:00Z,66848.0200,2026-03-30T17:40:00Z,66838.8283,9.1917
45,Long,2026-03-31T01:20:00Z,67626.4800,2026-03-31T01:40:00Z,68017.2367,390.7567
46,Short,2026-03-31T07:15:00Z,67084.0600,2026-03-31T07:25:00Z,67218.2510,-134.1910
47,Long,2026-03-31T14:15:00Z,67651.0300,2026-03-31T14:35:00Z,67516.4412,-134.5888
48,Short,2026-03-31T14:40:00Z,67067.0200,2026-03-31T15:00:00Z,66685.5957,381.4243
49,Long,2026-03-31T16:40:00Z,67853.5500,2026-03-31T16:45:00Z,67718.4252,-135.1248
50,Short,2026-04-02T01:30:00Z,67234.5900,2026-04-02T01:55:00Z,67267.1878,-32.5978
51,Long,2026-04-05T22:45:00Z,68008.4000,2026-04-05T23:40:00Z,68900.6890,892.2890
