Trade #,Signal,Date,Price,Date,Price,Profit
1,Long,2026-02-12T00:30:00Z,67431.32,2026-02-12T01:45:00Z,67833.35,402.03
2,Short,2026-02-12T04:30:00Z,67047.34,2026-02-12T04:35:00Z,67181.52,-134.18
3,Long,2026-02-12T09:30:00Z,67363.80,2026-02-12T11:05:00Z,67915.82,552.02
4,Short,2026-02-12T16:05:00Z,66624.30,2026-02-12T16:35:00Z,66097.55,526.75
5,Long,2026-02-13T09:45:00Z,66966.98,2026-02-13T10:05:00Z,66833.36,-133.62
6,Short,2026-02-17T15:30:00Z,66662.69,2026-02-17T15:35:00Z,66796.12,-133.43
7,Long,2026-02-17T15:45:00Z,67147.57,2026-02-17T16:20:00Z,67709.48,561.91
8,Short,2026-02-18T14:45:00Z,66788.80,2026-02-18T14:50:00Z,66922.49,-133.69
9,Long,2026-02-18T14:55:00Z,67150.77,2026-02-18T15:45:00Z,68131.97,981.20
10,Short,2026-02-18T18:20:00Z,66849.92,2026-02-18T18:35:00Z,66821.22,28.70
11,Long,2026-02-19T06:20:00Z,67152.08,2026-02-19T07:05:00Z,67021.73,-130.35
12,Short,2026-02-19T08:30:00Z,66808.80,2026-02-19T09:00:00Z,66942.48,-133.68
13,Long,2026-02-19T09:20:00Z,67149.06,2026-02-19T09:45:00Z,67014.98,-134.08
14,Short,2026-02-19T09:45:00Z,66774.45,2026-02-19T10:40:00Z,66905.24,-130.79
15,Long,2026-02-19T19:05:00Z,67087.22,2026-02-19T19:10:00Z,66953.28,-133.94
16,Short,2026-02-19T19:35:00Z,66776.72,2026-02-19T19:50:00Z,66902.72,-126.00
17,Long,2026-02-19T20:50:00Z,67126.00,2026-02-19T21:30:00Z,66991.93,-134.07
18,Short,2026-02-19T22:05:00Z,66821.75,2026-02-19T22:40:00Z,66782.21,39.54
19,Long,2026-02-20T00:15:00Z,67222.69,2026-02-20T00:50:00Z,67234.65,11.96
20,Short,2026-02-20T13:30:00Z,66901.84,2026-02-20T13:50:00Z,66722.68,179.16
21,Long,2026-02-20T15:00:00Z,67466.77,2026-02-20T15:10:00Z,67331.90,-134.87
22,Short,2026-02-20T15:10:00Z,67019.22,2026-02-20T15:20:00Z,67153.28,-134.06
23,Long,2026-02-20T15:20:00Z,67416.41,2026-02-20T15:30:00Z,67337.75,-78.66
24,Short,2026-02-20T15:30:00Z,66996.87,2026-02-20T15:35:00Z,67130.93,-134.06
