trade_num,direction,type,entry_datetime,exit_datetime,entry_price,exit_price,pnl_pts,equity_pts
1,SHORT,SL,2026-02-13 00:25:00,2026-02-13 01:00:00,1934.2800,1933.4919,0.7881,0.7881
2,LONG,SL,2026-02-13 03:30:00,2026-02-13 03:50:00,1954.5500,1950.6494,-3.9006,-3.1125
3,SHORT,SL,2026-02-13 05:05:00,2026-02-13 05:40:00,1937.9800,1940.8373,-2.8573,-5.9697
4,LONG,SL,2026-02-13 08:45:00,2026-02-13 09:00:00,1959.5500,1955.6378,-3.9122,-9.8820
5,SHORT,SL,2026-02-15 19:05:00,2026-02-15 19:20:00,1937.5600,1940.3960,-2.8360,-12.7179
6,LONG,SL,2026-02-15 20:35:00,2026-02-15 20:50:00,1953.6700,1949.7747,-3.8953,-16.6133
7,SHORT,SL,2026-02-18 19:35:00,2026-02-18 19:40:00,1926.7300,1930.5850,-3.8550,-20.4682
8,LONG,SL,2026-02-18 20:30:00,2026-02-18 20:50:00,1948.8700,1946.6341,-2.2359,-22.7041
9,SHORT,SL,2026-02-19 13:25:00,2026-02-19 13:50:00,1933.0300,1919.5316,13.4984,-9.2057
10,LONG,SL,2026-02-19 20:50:00,2026-02-19 21:30:00,1949.4500,1946.5369,-2.9131,-12.1189
11,SHORT,SL,2026-02-20 13:35:00,2026-02-20 13:50:00,1933.2600,1932.1380,1.1220,-10.9969
12,LONG,SL,2026-02-20 14:35:00,2026-02-20 14:45:00,1948.8800,1947.7010,-1.1790,-12.1759
13,SHORT,SL,2026-02-23 00:55:00,2026-02-23 01:10:00,1931.1900,1886.6659,44.5241,32.3483
14,LONG,SL,2026-02-25 12:50:00,2026-02-25 13:50:00,1952.2700,1968.3923,16.1223,48.4706
15,SHORT,SL,2026-02-27 16:10:00,2026-02-27 16:20:00,1936.2300,1940.1037,-3.8737,44.5969
16,LONG,SL,2026-02-28 20:10:00,2026-02-28 20:15:00,1957.6000,1953.6921,-3.9079,40.6890
17,SHORT,SL,2026-03-01 20:10:00,2026-03-01 20:50:00,1934.6900,1913.9121,20.7779,61.4669
18,LONG,SL,2026-03-01 22:10:00,2026-03-01 22:15:00,1956.4800,1952.5847,-3.8953,57.5716
19,SHORT,SL,2026-03-01 22:25:00,2026-03-01 22:40:00,1933.4600,1921.5973,11.8627,69.4343
20,LONG,SL,2026-03-02 00:35:00,2026-03-02 01:15:00,1949.7600,1979.7720,30.0120,99.4463
21,SHORT,SL,2026-03-02 07:05:00,2026-03-02 07:20:00,1930.7800,1932.3701,-1.5901,97.8562
22,LONG,SL,2026-03-02 08:50:00,2026-03-02 09:40:00,1946.8000,1958.8555,12.0555,109.9117
23,SHORT,SL,2026-03-02 13:40:00,2026-03-02 13:55:00,1930.9300,1926.8784,4.0516,113.9633
24,LONG,SL,2026-03-02 14:30:00,2026-03-02 15:25:00,1948.0500,2035.6741,87.6241,201.5875
25,SHORT,SL,2026-03-08 18:15:00,2026-03-08 18:25:00,1930.1300,1933.9938,-3.8638,197.7237
26,LONG,SL,2026-03-08 19:10:00,2026-03-08 19:50:00,1946.2400,1964.4200,18.1800,215.9037
27,SHORT,SL,2026-03-08 22:00:00,2026-03-08 22:05:00,1927.7100,1931.5659,-3.8559,212.0478
28,LONG,SL,2026-03-08 22:45:00,2026-03-08 22:55:00,1946.1600,1942.2731,-3.8869,208.1609
