trade_num,direction,type,entry_datetime,exit_datetime,entry_price,exit_price,pnl_pts,equity_pts
1,SHORT,SL,2026-02-13 00:25:00,2026-02-13 01:00:00,1934.28,1933.49,0.79,0.79
2,LONG,SL,2026-02-13 03:30:00,2026-02-13 03:50:00,1954.55,1950.65,-3.90,-3.11
3,SHORT,SL,2026-02-13 05:05:00,2026-02-13 05:40:00,1937.98,1940.84,-2.86,-5.97
4,LONG,SL,2026-02-13 08:45:00,2026-02-13 09:00:00,1959.55,1955.64,-3.91,-9.88
5,SHORT,SL,2026-02-15 19:05:00,2026-02-15 19:20:00,1937.56,1940.40,-2.84,-12.72
6,LONG,SL,2026-02-15 20:35:00,2026-02-15 20:50:00,1953.67,1949.77,-3.90,-16.61
7,SHORT,SL,2026-02-18 19:35:00,2026-02-18 19:40:00,1926.73,1930.58,-3.85,-20.47
8,LONG,SL,2026-02-18 20:30:00,2026-02-18 20:50:00,1948.87,1946.63,-2.24,-22.70
9,SHORT,SL,2026-02-19 13:25:00,2026-02-19 13:50:00,1933.03,1919.53,13.50,-9.21
10,LONG,SL,2026-02-19 20:50:00,2026-02-19 21:30:00,1949.45,1946.54,-2.91,-12.12
11,SHORT,SL,2026-02-20 13:35:00,2026-02-20 13:50:00,1933.26,1932.14,1.12,-11.00
12,LONG,SL,2026-02-20 14:35:00,2026-02-20 14:45:00,1948.88,1947.70,-1.18,-12.18
13,SHORT,SL,2026-02-23 00:55:00,2026-02-23 01:10:00,1931.19,1886.67,44.52,32.35
14,LONG,SL,2026-02-25 12:50:00,2026-02-25 13:50:00,1952.27,1968.39,16.12,48.47
15,SHORT,SL,2026-02-27 16:10:00,2026-02-27 16:20:00,1936.23,1940.10,-3.87,44.60
16,LONG,SL,2026-02-28 20:10:00,2026-02-28 20:15:00,1957.60,1953.69,-3.91,40.69
17,SHORT,SL,2026-03-01 20:10:00,2026-03-01 20:50:00,1934.69,1913.91,20.78,61.47
18,LONG,SL,2026-03-01 22:10:00,2026-03-01 22:15:00,1956.48,1952.58,-3.90,57.57
19,SHORT,SL,2026-03-01 22:25:00,2026-03-01 22:40:00,1933.46,1921.60,11.86,69.43
20,LONG,SL,2026-03-02 00:35:00,2026-03-02 01:15:00,1949.76,1979.77,30.01,99.45
21,SHORT,SL,2026-03-02 07:05:00,2026-03-02 07:20:00,1930.78,1932.37,-1.59,97.86
22,LONG,SL,2026-03-02 08:50:00,2026-03-02 09:40:00,1946.80,1958.86,12.06,109.91
23,SHORT,SL,2026-03-02 13:40:00,2026-03-02 13:55:00,1930.93,1926.88,4.05,113.96
24,LONG,SL,2026-03-02 14:30:00,2026-03-02 15:25:00,1948.05,2035.67,87.62,201.59
25,SHORT,SL,2026-03-08 18:15:00,2026-03-08 18:25:00,1930.13,1933.99,-3.86,197.72
26,LONG,SL,2026-03-08 19:10:00,2026-03-08 19:50:00,1946.24,1964.42,18.18,215.90
27,SHORT,SL,2026-03-08 22:00:00,2026-03-08 22:05:00,1927.71,1931.57,-3.86,212.05
28,LONG,SL,2026-03-08 22:45:00,2026-03-08 22:55:00,1946.16,1942.27,-3.89,208.16
