Trade #,Signal,Date,Price,Date,Price,Profit
1,Short,2026-02-13T00:25:00Z,1934.28,2026-02-13T01:00:00Z,1933.49,0.79
2,Long,2026-02-13T03:30:00Z,1954.55,2026-02-13T03:50:00Z,1950.65,-3.90
3,Short,2026-02-13T05:05:00Z,1937.98,2026-02-13T05:40:00Z,1940.84,-2.86
4,Long,2026-02-13T08:45:00Z,1959.55,2026-02-13T09:00:00Z,1955.64,-3.91
5,Short,2026-02-15T19:05:00Z,1937.56,2026-02-15T19:20:00Z,1940.40,-2.84
6,Long,2026-02-15T20:35:00Z,1953.67,2026-02-15T20:50:00Z,1949.77,-3.90
7,Short,2026-02-18T19:35:00Z,1926.73,2026-02-18T19:40:00Z,1930.58,-3.85
8,Long,2026-02-18T20:30:00Z,1948.87,2026-02-18T20:50:00Z,1946.63,-2.24
9,Short,2026-02-19T13:25:00Z,1933.03,2026-02-19T13:50:00Z,1919.53,13.50
10,Long,2026-02-19T20:50:00Z,1949.45,2026-02-19T21:30:00Z,1946.54,-2.91
11,Short,2026-02-20T13:35:00Z,1933.26,2026-02-20T13:50:00Z,1932.14,1.12
12,Long,2026-02-20T14:35:00Z,1948.88,2026-02-20T14:45:00Z,1947.70,-1.18
13,Short,2026-02-23T00:55:00Z,1931.19,2026-02-23T01:10:00Z,1886.67,44.52
14,Long,2026-02-25T12:50:00Z,1952.27,2026-02-25T13:50:00Z,1968.39,16.12
15,Short,2026-02-27T16:10:00Z,1936.23,2026-02-27T16:20:00Z,1940.10,-3.87
16,Long,2026-02-28T20:10:00Z,1957.60,2026-02-28T20:15:00Z,1953.69,-3.91
17,Short,2026-03-01T20:10:00Z,1934.69,2026-03-01T20:50:00Z,1913.91,20.78
18,Long,2026-03-01T22:10:00Z,1956.48,2026-03-01T22:15:00Z,1952.58,-3.90
19,Short,2026-03-01T22:25:00Z,1933.46,2026-03-01T22:40:00Z,1921.60,11.86
20,Long,2026-03-02T00:35:00Z,1949.76,2026-03-02T01:15:00Z,1979.77,30.01
21,Short,2026-03-02T07:05:00Z,1930.78,2026-03-02T07:20:00Z,1932.37,-1.59
22,Long,2026-03-02T08:50:00Z,1946.80,2026-03-02T09:40:00Z,1958.86,12.06
23,Short,2026-03-02T13:40:00Z,1930.93,2026-03-02T13:55:00Z,1926.88,4.05
24,Long,2026-03-02T14:30:00Z,1948.05,2026-03-02T15:25:00Z,2035.67,87.62
25,Short,2026-03-08T18:15:00Z,1930.13,2026-03-08T18:25:00Z,1933.99,-3.86
26,Long,2026-03-08T19:10:00Z,1946.24,2026-03-08T19:50:00Z,1964.42,18.18
27,Short,2026-03-08T22:00:00Z,1927.71,2026-03-08T22:05:00Z,1931.57,-3.86
28,Long,2026-03-08T22:45:00Z,1946.16,2026-03-08T22:55:00Z,1942.27,-3.89
